City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,labrea,-7.2586,-64.7981,73.92,96,55,2.98,BR,1680474715
211,victoria,22.2855,114.1577,71.65,91,95,1.01,HK,1680474715
212,oranjestad,12.524,-70.027,80.91,80,40,23.02,AW,1680474715
213,bucerias,20.75,-105.3333,78.78,73,20,10.36,MX,1680474607
214,fairbanks,64.8378,-147.7164,32.49,83,75,11.5,US,1680474517
215,lukulu,-14.3707,23.242,64.89,96,100,4.83,ZM,1680474715
216,baft,29.234,56.6057,43.84,28,0,1.63,IR,1680474715
217,fort wellington,6.4,-57.6,76.82,82,88,9.35,GY,1680474715
218,barcelos,41.5388,-8.6151,56.91,71,100,3.22,PT,1680474502
219,mandera,3.9366,41.867,81.81,65,100,13.8,KE,1680474715
220,saskylakh,71.9167,114.0833,16.97,96,100,3.78,RU,1680474675
221,owando,-0.4819,15.8999,74.71,77,58,2.64,CG,1680474716
222,el reno,35.5323,-97.955,78.12,57,0,25.32,US,1680474716
223,clyde river,70.4692,-68.5914,-9.17,77,0,6.91,CA,1680474634
224,nema,57.5067,50.5011,36.77,96,100,5.19,RU,1680474716
225,usinsk,65.9939,57.5281,12.38,92,54,9.17,RU,1680474716
226,svendborg,55.0598,10.6068,36.66,64,0,3.2,DK,1680474716
227,mocuba,-16.8392,36.9856,67.77,95,96,3.22,MZ,1680474716
228,puerto escondido,15.85,-97.0667,88.63,66,0,9.22,MX,1680474508
229,ostrovnoy,68.0531,39.5131,28.81,55,100,8.7,RU,1680474716
230,matara,5.9485,80.5353,73.62,95,4,3.09,LK,1680474716
231,port augusta,-32.5,137.7667,65.52,31,83,4.25,AU,1680474640
232,ambon,-3.6954,128.1814,73.54,94,20,10.36,ID,1680474716
233,san luis,-33.295,-66.3356,69.48,59,91,2.21,AR,1680474593
234,codrington,-38.2667,141.9667,56.46,72,0,6.71,AU,1680474691
235,hobyo,5.3505,48.5268,83.01,76,52,12.71,SO,1680474716
236,coahuayana,18.7333,-103.6833,84.94,48,97,6.15,MX,1680474638
237,leningradskiy,69.3833,178.4167,-6.63,86,100,16.11,RU,1680474657
238,vardo,70.3705,31.1107,24.78,86,100,11.5,NO,1680474716
239,cangucu,-31.395,-52.6756,60.01,76,76,5.23,BR,1680474716
240,foam lake,51.65,-103.5343,19.42,93,100,12.77,CA,1680474716
241,kapoeta,4.7717,33.5903,82.08,45,98,3.69,SS,1680474716
242,terekli-mekteb,44.1671,45.8698,46.49,66,13,8.21,RU,1680474716
243,chumikan,54.7183,135.315,24.76,75,100,3.36,RU,1680474707
244,port lincoln,-34.7333,135.8667,65.03,57,61,6.91,AU,1680474684
245,eureka,40.8021,-124.1637,50.61,87,100,3.0,US,1680474686
246,luanda,-8.8368,13.2343,82.4,78,0,8.05,AO,1680474532
247,nola,40.922,14.5329,57.92,92,100,7.63,IT,1680474717
248,half moon bay,37.4636,-122.4286,60.03,67,100,21.85,US,1680474628
249,cabo san lucas,22.8909,-109.9124,85.6,50,75,8.05,MX,1680474631
250,maumere,-8.6199,122.2111,80.33,75,97,3.0,ID,1680474717
251,catamarca,-28.4696,-65.7852,77.58,89,45,2.37,AR,1680474717
252,sao miguel do araguaia,-13.275,-50.1628,75.13,86,96,2.04,BR,1680474527
253,solnechnyy,50.7214,136.6319,39.79,92,66,2.17,RU,1680474717
254,berlevag,70.8578,29.0864,26.55,74,88,17.27,NO,1680474717
255,meiganga,6.5167,14.3,71.24,66,67,1.57,CM,1680474717
256,bernalillo,35.05,-106.6673,75.7,8,0,20.71,US,1680474717
257,meulaboh,4.1363,96.1285,75.87,85,100,4.56,ID,1680474717
258,sao francisco de assis,-29.5503,-55.1311,65.52,50,37,8.19,BR,1680474717
259,acapulco,16.8634,-99.8901,87.62,58,0,9.22,MX,1680474717
260,esperance,-33.8667,121.9,64.83,75,69,6.93,AU,1680474717
261,constantine,36.365,6.6147,45.81,87,75,17.27,DZ,1680474717
262,mount isa,-20.7333,139.5,69.57,43,53,5.75,AU,1680474718
263,comodoro rivadavia,-45.8667,-67.5,64.26,27,0,11.5,AR,1680474718
264,madison,34.7334,-86.5667,71.67,29,0,3.0,US,1680474518
265,pochutla,15.7432,-96.4661,87.82,52,20,7.23,MX,1680474718
266,vanimo,-2.6741,141.3028,78.71,86,100,4.27,PG,1680474718
267,cedar city,37.6775,-113.0619,59.97,20,0,20.71,US,1680474619
268,san francisco,37.7749,-122.4194,61.05,68,75,29.93,US,1680474556
269,atar,20.5169,-13.0499,85.86,6,1,7.07,MR,1680474718
270,nago,26.5881,127.9761,65.25,68,68,25.17,JP,1680474718
271,mantua,45.1667,10.7833,56.01,84,43,1.01,IT,1680474718
272,songea,-10.6833,35.65,65.55,94,20,0.0,TZ,1680474718
273,mount gambier,-37.8333,140.7667,55.99,69,2,3.27,AU,1680474719
274,leshukonskoye,64.8989,45.7622,6.94,99,66,4.27,RU,1680474720
275,yumbe,3.4651,31.2469,67.57,82,35,2.95,UG,1680474720
276,talas,38.6908,35.5538,48.87,76,75,0.0,TR,1680474721
277,baghmara,23.795,86.2085,74.41,42,0,2.82,IN,1680474721
278,khani,41.9563,42.9566,44.17,78,88,2.08,GE,1680474721
279,pingliang,35.5392,106.6861,36.34,88,100,15.57,CN,1680474721
280,imbituba,-28.24,-48.6703,62.8,85,8,3.04,BR,1680474721
281,laguna,38.421,-121.4238,64.76,51,20,16.11,US,1680474722
282,kassala,15.451,36.4,77.27,26,72,8.95,SD,1680474722
283,ust-maya,60.4167,134.5333,3.11,98,100,1.88,RU,1680474722
284,bambous virieux,-20.3428,57.7575,79.21,89,75,6.91,MU,1680474722
285,villarrica,-25.75,-56.4333,72.32,28,0,4.74,PY,1680474722
286,kruisfontein,-34.0033,24.7314,65.88,79,99,7.63,ZA,1680474722
287,saint george,37.1041,-113.5841,71.94,20,0,7.0,US,1680474571
288,chai nat,15.1167,100.1,82.06,99,12,5.37,TH,1680474723
289,zhigansk,66.7697,123.3711,18.97,94,100,22.82,RU,1680474723
290,litovko,49.2361,135.1742,43.32,68,11,3.65,RU,1680474723
291,juarez,31.7333,-106.4833,79.61,8,0,18.41,MX,1680474668
292,resistencia,-27.4606,-58.9839,80.65,48,0,5.75,AR,1680474517
293,saint-ambroise,48.5501,-71.3324,21.74,45,64,17.27,CA,1680474723
294,coos bay,43.3665,-124.2179,46.99,74,75,17.27,US,1680474521
295,tupancireta,-29.0806,-53.8358,64.04,52,7,8.81,BR,1680474562
296,gonbad-e qabus,37.25,55.1672,47.79,57,97,3.53,IR,1680474724
297,mareeba,-17.0,145.4333,77.72,96,22,3.65,AU,1680474724
298,lorengau,-2.0226,147.2712,82.49,77,99,6.31,PG,1680474724
299,san ignacio,17.1561,-89.0714,93.34,38,75,11.5,BZ,1680474724
300,doha,25.2867,51.5333,66.09,50,0,12.66,QA,1680474584
301,klaksvik,62.2266,-6.589,43.72,82,100,9.46,FO,1680474619
302,roma,43.2128,-75.4557,39.34,37,0,5.75,US,1680474483
303,thinadhoo,0.5333,72.9333,81.45,72,5,3.31,MV,1680474724
304,borogontsy,62.6683,131.1683,6.4,94,61,5.44,RU,1680474724
305,bilibino,68.0546,166.4372,-7.06,98,98,2.75,RU,1680474724
306,hibbing,47.4272,-92.9377,43.95,42,100,3.44,US,1680474431
307,mayskiy,47.6931,40.1025,47.61,75,63,8.48,RU,1680474725
308,karakol,42.4907,78.3936,34.99,28,0,5.5,KG,1680474725
309,porto walter,-8.2686,-72.7439,73.98,99,83,2.1,BR,1680474725
310,axim,4.8699,-2.2405,78.3,91,36,2.26,GH,1680474726
311,taltal,-25.4,-70.4833,69.1,88,51,6.89,CL,1680474621
312,ahipara,-35.1667,173.1667,65.12,64,99,17.56,NZ,1680474726
313,flagstaff,35.1981,-111.6513,60.53,25,0,18.41,US,1680474587
314,albanel,48.8832,-72.4487,21.34,42,95,9.22,CA,1680474726
315,richards bay,-28.783,32.0377,72.77,82,58,15.12,ZA,1680474726
316,port-gentil,-0.7193,8.7815,82.36,79,75,8.05,GA,1680474726
317,northam,51.0333,-4.2167,46.26,84,100,5.88,GB,1680474710
318,ha giang,22.8333,104.9833,72.86,96,90,1.81,VN,1680474726
319,flinders,-34.5833,150.8552,69.06,87,68,4.0,AU,1680474726
320,patitirion,39.15,23.8667,56.37,79,100,2.35,GR,1680474727
321,chapais,49.7834,-74.8492,17.38,93,100,0.45,CA,1680474727
322,mehamn,71.0357,27.8492,26.51,86,20,14.97,NO,1680474727
323,pontianak,-0.0333,109.3333,75.18,94,20,3.44,ID,1680474727
324,hue,16.4667,107.6,75.31,88,40,3.44,VN,1680474727
325,saldanha,-33.0117,17.9442,64.45,90,84,11.21,ZA,1680474727
326,letka,59.6011,49.4232,36.39,97,100,4.18,RU,1680474727
327,pangnirtung,66.1451,-65.7125,2.91,80,100,6.15,CA,1680474727
328,freetown,8.484,-13.2299,80.31,89,40,8.05,SL,1680474728
